Stock,Index,Alpha,Beta,R2,Correlation
ADANIENT.NS,^NSEI,-0.0007358995778781087,1.5670391229334,0.2687973431341141,0.5184566935956312
ADANIPORTS.NS,^NSEI,-2.6478280373807097e-05,1.5013042922844917,0.3799750490497982,0.6164211620716781
AXISBANK.NS,^NSEBANK,-0.00077967874429476,1.0662515549299867,0.4893788803743868,0.6995562024415102
BAJAJFINSV.NS,^NSEI,0.00038997791165611075,1.1277625064223213,0.37934200184273126,0.6159074620774873
BAJFINANCE.NS,^NSEI,0.0006224641976538155,1.0192108904170945,0.3033468782339571,0.5507693512115185
BHARTIARTL.NS,^NSEI,0.0011488385999181545,0.9466504698978613,0.34366994828872466,0.5862336976741651
CIPLA.NS,^CNXPHARMA,-2.4903355946549987e-05,0.8775194279315475,0.5046644672498106,0.7103974009312044
COALINDIA.NS,^NSEI,-0.0007118170868780666,1.0620807243146706,0.3550741606129305,0.5958809953446499
DRREDDY.NS,^CNXPHARMA,-0.0002737779117390235,0.7856541772089094,0.40137014190138454,0.6335377983209726
EICHERMOT.NS,^CNXAUTO,0.0004007886058148597,0.7876643447534105,0.40640263736676285,0.6374971665558702
GRASIM.NS,^NSEI,-4.3673572025508436e-05,1.070637345048482,0.40016695157491244,0.6325875050733396
HCLTECH.NS,^CNXIT,0.0004983882329684017,0.9777804314608108,0.6579923516649646,0.8111672772400059
HDFCBANK.NS,^NSEBANK,0.0006472931062693358,0.9807722660411008,0.6175917180080879,0.7858700388792591
HDFCLIFE.NS,^NSEI,0.0006666672578402242,0.7983801187669604,0.20790270018581392,0.45596348558389393
HEROMOTOCO.NS,^CNXAUTO,-0.0003495071560110101,0.8254013539412038,0.4131997963677092,0.6428061888063223
HINDALCO.NS,^NSEI,0.0005576981081256762,1.294540730188299,0.35143832129481123,0.592822335354203
HINDUNILVR.NS,^CNXFMCG,0.0004123991944273923,1.0791921530070294,0.5885696225438877,0.7671829133550145
ICICIBANK.NS,^NSEBANK,0.000620637314966491,0.8978040085427602,0.517149130338255,0.7191308158730618
INDUSINDBK.NS,^NSEBANK,-0.0027359330945688487,0.9438087323633304,0.10129334785612765,0.3182661588295682
INFY.NS,^CNXIT,-0.000237323292849208,1.0307957711992475,0.8137450496839609,0.9020781837978131
ITC.NS,^CNXFMCG,-4.9162197545540745e-05,1.0132497352856913,0.5970130748042553,0.7726662117656338
JIOFIN.NS,^NSEI,0.0002901349784643259,1.6023436923939283,0.4125918046555844,0.6423330947846176
JSWSTEEL.NS,^NSEI,0.000623882166022408,1.163020696242882,0.38314659793829786,0.6189883665613582
KOTAKBANK.NS,^NSEBANK,0.0001443689472459064,0.9555016798972106,0.3597340914726356,0.5997783686268083
LT.NS,^NSEI,-0.00028748999435464353,1.241396588246255,0.5256856760039708,0.7250418443124307
M&M.NS,^CNXAUTO,0.0009049630292966684,1.2117976144148563,0.6548533715270274,0.8092301103685078
MARUTI.NS,^CNXAUTO,-0.0003087630344553847,0.6872898480994352,0.4829013173194565,0.6949110139575115
NESTLEIND.NS,^CNXFMCG,0.0001307770333612222,0.9646149330967297,0.4685555047091049,0.6845111428670135
NTPC.NS,^NSEI,-0.0004112529727435656,1.1139200836492489,0.3749141686183315,0.6123023506555658
ONGC.NS,^NSEI,-0.0008237649288954339,1.193238372899498,0.32174754811794715,0.5672279507552032
POWERGRID.NS,^NSEI,-0.0002073373054956109,1.0982009555176648,0.3529115840541992,0.5940636195343048
RELIANCE.NS,^NSEI,-0.00010337404866364869,1.1865776055000807,0.5613077335232854,0.7492047340502362
SBILIFE.NS,^NSEI,0.0004283865348904004,0.8176909883073613,0.21951459088237202,0.46852384238411166
SBIN.NS,^NSEBANK,-0.0005805671764218775,1.0926354506924956,0.5280136684087279,0.7266454901867401
SHRIRAMFIN.NS,^NSEBANK,-2.6924060339936825e-05,1.489763270662782,0.37612170195283423,0.6132876176418647
SUNPHARMA.NS,^CNXPHARMA,-8.641562569860567e-05,0.9573363528642688,0.6434951922541798,0.8021815207633372
TATACONSUM.NS,^CNXFMCG,7.116428273652177e-05,1.1103048978856336,0.4189992549462448,0.6473015178000469
TATAMOTORS.NS,^CNXAUTO,-0.0010126447484599195,1.1554062368537275,0.5282273724181357,0.7267925236394057
TATASTEEL.NS,^NSEI,0.00030325927231832794,1.3246027715264785,0.3984530499526445,0.6312313759253768
TCS.NS,^CNXIT,-0.0009378885977278835,0.7999127483160717,0.7111655507750756,0.8433063208437821
TECHM.NS,^CNXIT,0.0007674744311453734,1.0476517743275189,0.7232153799391665,0.8504207076142762
TITAN.NS,^NSEI,-1.1482645093632412e-05,0.8006676848279187,0.2462621102871868,0.4962480330310509
ULTRACEMCO.NS,^NSEI,0.0002887832326099267,0.9669475632815074,0.33491996851761563,0.578722704339147
WIPRO.NS,^CNXIT,0.0005095535027645215,0.9507858198494119,0.5567419585538156,0.746151431382273
