Index,Alpha,Beta,R2,Correlation
^NSEI,-9.063142553431252e-05,1.0233155768244766,0.31727394138886406,0.5543952023646544
^CNXAUTO,0.0002885956359668878,0.6293768828255617,0.24892124709460076,0.48613518564427344
^NSEBANK,-0.00046007825939661513,0.7817948977980639,0.23215384246483858,0.4601708456050984
^CNXIT,9.010698492119455e-05,0.41923518711588703,0.1636208926028904,0.3591517965463617
^CNXPHARMA,-0.00027357651576997126,0.544266576268665,0.14854952149465042,0.35911890748903147
^CNXFMCG,0.000132853922250356,0.6022228679330609,0.13539081193158656,0.3403244165989889
