Stock,Index,Alpha,Beta,R2,Correlation
ADANIENT.NS,^CNXAUTO,-9.830765005154228e-05,1.0405552714718977,0.2474118006153101,0.4974050669377125
ADANIENT.NS,^CNXFMCG,-0.00038699649589710546,0.9351463650708001,0.09714635259714877,0.31168309642511755
ADANIENT.NS,^CNXIT,-0.0005803768556853341,0.4521347339738982,0.05584816409396498,0.23632216166488748
ADANIENT.NS,^CNXPHARMA,-0.0010409910420941765,0.974939396975616,0.1579349202864978,0.39741026696160986
ADANIENT.NS,^NSEBANK,-0.0013443460018337386,1.3153798289437457,0.2279093008779467,0.4773984718010175
ADANIENT.NS,^NSEI,-0.0007358995778781087,1.5670391229334,0.2687973431341141,0.5184566935956312
ADANIPORTS.NS,^CNXAUTO,0.0005530974782824606,0.9546929138612568,0.32075234098889127,0.5663500163228491
ADANIPORTS.NS,^CNXFMCG,0.00028657167373194665,0.8547653043054052,0.12500098182078156,0.35355477909481225
ADANIPORTS.NS,^CNXIT,0.00010875254885587532,0.41161004866670775,0.07128488099348951,0.26699228639323935
ADANIPORTS.NS,^CNXPHARMA,-0.00030842016755755963,0.8753211002202322,0.19606950562769887,0.4427973640704048
ADANIPORTS.NS,^NSEBANK,-0.0006017669714798944,1.2390702281890127,0.3114611419262051,0.5580870379485672
ADANIPORTS.NS,^NSEI,-2.6478280373807097e-05,1.5013042922844917,0.3799750490497982,0.6164211620716781
AXISBANK.NS,^CNXAUTO,1.759833904695432e-05,0.5562576587088439,0.23105122968851965,0.4806778855829752
AXISBANK.NS,^CNXFMCG,-0.00016618326411317998,0.44277714643397637,0.07117113437739975,0.26677918655209915
AXISBANK.NS,^CNXIT,-0.00020440017401480865,0.2976091760485901,0.07907368296085815,0.2812004320068838
AXISBANK.NS,^CNXPHARMA,-0.00046340532916999504,0.3910831841498225,0.08304765698786887,0.2881799038584559
AXISBANK.NS,^NSEBANK,-0.00077967874429476,1.0662515549299867,0.4893788803743868,0.6995562024415102
AXISBANK.NS,^NSEI,-0.00030707360555216336,1.0279038613764482,0.37795183899675744,0.614777877771116
BAJAJFINSV.NS,^CNXAUTO,0.0007578523535897237,0.6260389030792992,0.2440186841284614,0.4939824735033231
BAJAJFINSV.NS,^CNXFMCG,0.0006177282908880544,0.6277189887592242,0.1192691671989572,0.345353684212225
BAJAJFINSV.NS,^CNXIT,0.0005861442231260383,0.4572972106800075,0.15566844848248784,0.39454841082240794
BAJAJFINSV.NS,^CNXPHARMA,0.00021648427036782917,0.44027760776726965,0.08776198862090723,0.29624649976144385
BAJAJFINSV.NS,^NSEBANK,-5.007766375888275e-05,0.9526568094343879,0.3257339157823357,0.570731036287966
BAJAJFINSV.NS,^NSEI,0.00038997791165611075,1.1277625064223213,0.37934200184273126,0.6159074620774873
BAJFINANCE.NS,^CNXAUTO,0.0009517625861451752,0.5615053666715322,0.19219587005619343,0.4384014941308861
BAJFINANCE.NS,^CNXFMCG,0.0007926748389963787,0.4982136827425398,0.0735605124983496,0.27122041312989276
BAJFINANCE.NS,^CNXIT,0.0007805629911107528,0.38323886109427624,0.1070430228713154,0.32717430044445006
BAJFINANCE.NS,^CNXPHARMA,0.00047620907513390887,0.33811382646299304,0.050675134702340974,0.225111382880433
BAJFINANCE.NS,^NSEBANK,0.00020542167434788971,0.914503037822621,0.29388412297036914,0.5421108032223387
BAJFINANCE.NS,^NSEI,0.0006224641976538155,1.0192108904170945,0.3033468782339571,0.5507693512115185
BHARTIARTL.NS,^CNXAUTO,0.0014894983473037811,0.5685147389465586,0.258744134896813,0.5086689836198125
BHARTIARTL.NS,^CNXFMCG,0.0013902535147446763,0.6243569831293105,0.15171559370654408,0.3895068596399094
BHARTIARTL.NS,^CNXIT,0.0013133651704398226,0.38364409717540127,0.14087280208073993,0.37533025734776554
BHARTIARTL.NS,^CNXPHARMA,0.0009951654149634975,0.415189479437376,0.10034888702029676,0.3167789245203933
BHARTIARTL.NS,^NSEBANK,0.000865088524090967,0.5626324052654638,0.1460851706842441,0.3822108981756592
BHARTIARTL.NS,^NSEI,0.0011488385999181545,0.9466504698978613,0.34366994828872466,0.5862336976741651
CIPLA.NS,^CNXAUTO,0.00047629589674546614,0.4677636542735266,0.1972011177577072,0.44407332475358946
CIPLA.NS,^CNXFMCG,0.00037238035988973494,0.47053641611417973,0.09701080809774121,0.3114655809198527
CIPLA.NS,^CNXIT,0.00028443025318337266,0.24214506914075917,0.06318161743208883,0.2513595381760728
CIPLA.NS,^CNXPHARMA,-2.4903355946549987e-05,0.8775194279315475,0.5046644672498106,0.7103974009312044
CIPLA.NS,^NSEBANK,-2.948897517202943e-05,0.44086811377219887,0.10098186658421016,0.31777644120389087
CIPLA.NS,^NSEI,0.00018901862979263146,0.6966861763760542,0.20955884795818847,0.4577759801018269
COALINDIA.NS,^CNXAUTO,-0.0003231432830260392,0.6465784156182498,0.2747079512885183,0.5241258925950123
COALINDIA.NS,^CNXFMCG,-0.0005011078547867354,0.5838346371707391,0.10888943765818426,0.32998399606372486
COALINDIA.NS,^CNXIT,-0.0006033256951683798,0.31126892912017023,0.07611730839492004,0.2758936541403595
COALINDIA.NS,^CNXPHARMA,-0.0009155885568740761,0.6437131298186015,0.19799142517113222,0.44496227387401327
COALINDIA.NS,^NSEBANK,-0.0010920184246490565,0.8024402970747653,0.2439067815204311,0.4938691947473859
COALINDIA.NS,^NSEI,-0.0007118170868780666,1.0620807243146706,0.3550741606129305,0.5958809953446499
DRREDDY.NS,^CNXAUTO,0.00019633043822833203,0.4476540568942621,0.17919852945286907,0.4233184728462357
